expnum seeing efftime survey_speed comment
1308426 2.3581719398498535 44.36574935913086 0.08873149752616882 "Automatically flagged"
1308427 1.908852219581604 70.50802612304688 0.14101605117321014 "Automatically flagged"
1308428 2.321101188659668 42.67957305908203 0.08535914868116379 "Automatically flagged"
1308429 2.2234115600585938 50.61663055419922 0.10123325884342194 "Automatically flagged"
1308430 1.9515528678894043 54.36738967895508 0.10873477905988693 "Automatically flagged"
1308431 1.7709012031555176 60.713932037353516 0.12142786383628845 "Automatically flagged"
1308432 1.9873307943344116 55.260189056396484 0.1105203777551651 "Automatically flagged"
1308433 1.758807897567749 69.9253158569336 0.13985063135623932 "Automatically flagged"
1308437 1.9070048332214355 84.91264343261719 0.16982528567314148 "Automatically flagged"
1308438 2.0135600566864014 93.13764953613281 0.18627530336380005 "Automatically flagged"
1308439 2.101396083831787 87.45537567138672 0.1749107539653778 "Automatically flagged"
1308440 1.7981640100479126 89.56016540527344 0.17912033200263977 "Automatically flagged"
1308441 1.7955464124679565 79.09022521972656 0.15818044543266296 "Automatically flagged"
1308444 1.6475225687026978 91.601806640625 0.18320360779762268 "Automatically flagged"
1308445 1.8906887769699097 87.16104125976562 0.17432208359241486 "Automatically flagged"
1308447 1.7075915336608887 91.06104278564453 0.18212208151817322 "Automatically flagged"
1308448 2.0710113048553467 48.15142822265625 0.09630285948514938 "Automatically flagged"
1308449 2.2811355590820312 52.05280685424805 0.10410561412572861 "Automatically flagged"
1308450 2.27583909034729 56.7562141418457 0.11351242661476135 "Automatically flagged"
1308451 2.7322733402252197 38.98186111450195 0.07796372473239899 "Automatically flagged"
1308452 2.3566458225250244 64.03170013427734 0.1280633956193924 "Automatically flagged"
1308453 2.200875759124756 52.969459533691406 0.10593891888856888 "Automatically flagged"
1308454 2.2715189456939697 85.29129028320312 0.170582577586174 "Automatically flagged"
1308455 2.1974594593048096 82.75799560546875 0.1655159890651703 "Automatically flagged"
1308456 2.1639480590820312 76.7567367553711 0.15351347625255585 "Automatically flagged"
1308459 1.940035104751587 91.9674301147461 0.18393486738204956 "Automatically flagged"
1308462 2.131232738494873 99.6756820678711 0.19935137033462524 "Automatically flagged"
1308465 1.971370816230774 76.51611328125 0.15303222835063934 "Automatically flagged"
1308466 2.0152111053466797 108.30376434326172 0.21660752594470978 "Automatically flagged"
1308474 1.6891016960144043 70.22342681884766 0.14044685661792755 "Automatically flagged"
1308483 1.9821879863739014 93.77230834960938 0.18754461407661438 "Automatically flagged"
1308485 2.375886917114258 12.320160865783691 0.024640321731567383 "Automatically flagged"
1308486 2.099040985107422 27.02828025817871 0.0540565587580204 "Automatically flagged"
1308487 1.7908276319503784 86.76536560058594 0.1735307276248932 "Automatically flagged"
1310262 2.1639890670776367 69.97102355957031 0.13994204998016357 "Automatically flagged"
1310263 2.203047752380371 74.18540954589844 0.14837081730365753 "Automatically flagged"
1310264 2.2646067142486572 74.0053482055664 0.14801070094108582 "Automatically flagged"
1310265 2.470856189727783 60.215518951416016 0.12043103575706482 "Automatically flagged"
1310266 2.4569618701934814 35.507110595703125 0.11835703253746033 "Automatically flagged"
1310269 2.1295125484466553 114.87957763671875 0.22975915670394897 "Automatically flagged"
1310270 2.0548274517059326 130.5205078125 0.2610410153865814 "Automatically flagged"
1310271 2.1770498752593994 111.7011489868164 0.22340229153633118 "Automatically flagged"
1310272 2.2487404346466064 108.19290161132812 0.21638579666614532 "Automatically flagged"
1310273 2.2497236728668213 104.99635314941406 0.20999270677566528 "Automatically flagged"
1310274 2.0266480445861816 136.7156219482422 0.2734312415122986 "Automatically flagged"
1310275 2.0628302097320557 136.40499877929688 0.2728100121021271 "Automatically flagged"
1311058 2.1213314533233643 116.89739990234375 0.23379479348659515 "Automatically flagged"
1311059 2.06170916557312 118.35498046875 0.23670996725559235 "Automatically flagged"
1337017 1.3615883588790894 83.44368743896484 0.16688737273216248 "Automatically flagged"
1337265 1.5679998397827148 78.54894256591797 0.15709789097309113 "Automatically flagged"
1337892 1.5365628004074097 86.53288269042969 0.17306576669216156 "Automatically flagged"
1338083 1.2591451406478882 66.84895324707031 0.13369791209697723 "Automatically flagged"
